-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.296us         0.00%      15.296us       1.530us            10  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.536us         0.00%      13.536us       1.354us            10  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.152us         0.00%      13.152us       1.315us            10  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      11.424us         0.00%      11.424us       2.856us             4  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.304us         0.00%      10.304us       1.030us            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       8.928us         0.00%       8.928us       0.893us            10  
                                           aten::arange         0.00%     320.432us         0.00%       1.096ms      54.807us       8.224us         0.00%      16.448us       0.822us            20  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us       8.224us         0.00%       8.224us       0.822us            10  
                                 cudaDeviceGetAttribute         0.00%     254.704us         0.00%     254.704us       0.227us       8.000us         0.00%       8.000us       0.007us          1120  
                                  cudaStreamIsCapturing         0.00%      87.424us         0.00%      87.424us       0.741us       2.688us         0.00%       2.688us       0.023us           118  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.560us         0.00%       2.560us       2.560us             1  
                         threading.py(1032): _bootstrap         0.00%       1.584us       100.00%       90.904s       15.151s       0.000us         0.00%       0.000us       0.000us             6  
                   threading.py(1075): _bootstrap_inner         0.00%       3.728us       100.00%       90.904s       15.151s       0.000us         0.00%       0.000us       0.000us             6  
                                threading.py(1012): run         0.00%       3.088us        66.67%       60.602s       15.151s       0.000us         0.00%       0.000us       0.000us             4  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/utils.py(...         0.00%       0.752us        16.67%       15.151s       15.151s       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%      12.576us        21.65%       19.680s        6.560s       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(355): wait         0.00%     559.984us        16.67%       15.151s        7.576s       0.000us         0.00%       0.000us       0.000us             2  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%     398.848us        16.67%       15.151s       15.151s       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      13.168us         0.00%     611.456us     611.456us       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/v1/engine/core.py(1...         0.00%     107.648us        16.67%       15.151s       15.151s       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll        11.03%       10.023s        11.03%       10.023s       10.023s       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%      72.656us        33.33%       30.301s       15.151s       0.000us         0.00%       0.000us       0.000us             2  
                                threading.py(359): wait         4.98%        4.529s         4.98%        4.529s        2.264s       0.000us         0.00%       0.000us       0.000us             2  
/home/redhat-et/lkesem/vllm/vllm/usage/usage_lib.py(...         0.00%       0.784us        16.67%       15.151s       15.151s       0.000us         0.00%       0.000us       0.000us             1  
/home/redhat-et/lkesem/vllm/vllm/usage/usage_lib.py(...        16.67%       15.151s        16.67%       15.151s       15.151s       0.000us         0.00%       0.000us       0.000us             1  
