-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                Module:model.layers.30.mlp.gate_up_proj         0.00%       0.000us         0.00%       0.000us       0.000us       3.416ms         1.17%       3.416ms     853.888us             4  
                   Module:model.layers.17.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.970ms         0.67%       1.970ms     492.432us             4  
                   Module:model.layers.16.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.953ms         0.67%       1.953ms     488.248us             4  
                   Module:model.layers.14.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.911ms         0.65%       1.911ms     477.688us             4  
                    Module:model.layers.9.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.837ms         0.63%       1.837ms     459.200us             4  
                   Module:model.layers.13.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.836ms         0.63%       1.836ms     459.120us             4  
                   Module:model.layers.34.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.831ms         0.63%       1.831ms     457.768us             4  
                    Module:model.layers.3.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.825ms         0.62%       1.825ms     456.240us             4  
                   Module:model.layers.23.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.822ms         0.62%       1.822ms     455.392us             4  
                    Module:model.layers.4.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.815ms         0.62%       1.815ms     453.848us             4  
                    Module:model.layers.5.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.814ms         0.62%       1.814ms     453.600us             4  
                    Module:model.layers.1.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.812ms         0.62%       1.812ms     453.016us             4  
                   Module:model.layers.10.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.810ms         0.62%       1.810ms     452.496us             4  
                   Module:model.layers.21.mlp.down_proj         0.00%       0.000us         0.00%       0.000us       0.000us       1.809ms         0.62%       1.809ms     452.167us             4  
